S 0300-N,#f6f3ef
S 0500-N,#f0ede9
S 0502-B,#eaefef
S 0502-B50G,#eaefef
S 0502-G,#e9ece8
S 0502-G50Y,#eeeee5
S 0502-R,#f1e9e6
S 0502-R50B,#eeeaec
S 0502-Y,#f6f0e4
S 0502-Y50R,#f4ede3
S 0505-B,#e1eaed
S 0505-B20G,#e3edee
S 0505-B50G,#e3edec
S 0505-B80G,#e8f0eb
S 0505-G,#e5ede6
S 0505-G10Y,#ebefe7
S 0505-G20Y,#e7ede2
S 0505-G30Y,#e7ede0
S 0505-G40Y,#f0f2e4
S 0505-G50Y,#f1f2e0
S 0505-G60Y,#f1f2e0
S 0505-G70Y,#f0eedd
S 0505-G80Y,#f1eedb
S 0505-G90Y,#f9f3df
S 0505-R,#f6e8e4
S 0505-R10B,#f2e5e5
S 0505-R20B,#f1e5e7
S 0505-R30B,#f3e8ec
S 0505-R40B,#eee6eb
S 0505-R50B,#ece7eb
S 0505-R60B,#eceaf0
S 0505-R70B,#e7e8ed
S 0505-R80B,#e5e8ed
S 0505-R90B,#e3e9ed
S 0505-Y,#f7f0da
S 0505-Y10R,#f6edd7
S 0505-Y20R,#f7edd4
S 0505-Y30R,#fbecd4
S 0505-Y40R,#fcebd8
S 0505-Y50R,#f7e5d4
S 0505-Y60R,#f7e8db
S 0505-Y70R,#f5e5dc
S 0505-Y80R,#f7e8e0
S 0505-Y90R,#f7e8e2
S 0507-B,#deeaef
S 0507-B20G,#ddebed
S 0507-B80G,#e1eee8
S 0507-G,#e5f1e7
S 0507-G40Y,#ecf0dd
S 0507-G80Y,#f1efd5
S 0507-R,#f7e4e2
S 0507-R20B,#f2e1e5
S 0507-R40B,#f0e5eb
S 0507-R60B,#ebe7ef
S 0507-R80B,#dfe6ee
S 0507-Y,#f6edd2
S 0507-Y20R,#faecd0
S 0507-Y40R,#f7e5ce
S 0507-Y60R,#f9e4d4
S 0507-Y80R,#f9e4dc
S 0510-B,#d2e3ea
S 0510-B10G,#d2e6eb
S 0510-B30G,#d1e7e7
S 0510-B50G,#daeceb
S 0510-B70G,#d7ede7
S 0510-B90G,#d8ede3
S 0510-G,#ddf0e0
S 0510-G10Y,#e0efde
S 0510-G20Y,#e3efdc
S 0510-G30Y,#e5eed6
S 0510-G40Y,#ebf1d5
S 0510-G50Y,#e9edd4
S 0510-G60Y,#eaedd1
S 0510-G70Y,#f2f3ce
S 0510-G80Y,#f1efcc
S 0510-G90Y,#f5eecc
S 0510-R,#f8dcd8
S 0510-R10B,#f8e0df
S 0510-R20B,#f4dde0
S 0510-R30B,#f1dee4
S 0510-R40B,#efe2e8
S 0510-R50B,#ece2ea
S 0510-R60B,#e4e1eb
S 0510-R70B,#dddfea
S 0510-R80B,#dbe4ed
S 0510-R90B,#dae8f0
S 0510-Y,#f2e8c4
S 0510-Y10R,#fdecc4
S 0510-Y20R,#fbe8c3
S 0510-Y30R,#fbe4c5
